text,labels,predictions_stance,probabilities_outputs_stance
"""Teekond Venemaa kaudu on põgenikele kõige ohutum, sest merd ei ole vaja ületada.",1,1,"[0.05, 0.54, 0.41]"
Vaol tahetakse korda teha neli nõukogudeaegset korterit ning Vägeva kodus luua lisapind 14 varjupaigataotlejale.,2,2,"[0.04, 0.21, 0.75]"
Probleemi lahendab sündimuse ja tagasirände soodustamine ning tehnoloogilisest arengust tingitud töökäte vajaduse vähenemine.,1,2,"[0.02, 0.29, 0.7]"
"Ungari lõunapiiril Serbiaga on alanud ehitustööd, et rajada tõke riiki tungivate illegaalsete immigrantide vastu, kirjutab The Guardian.",0,0,"[0.49, 0.45, 0.06]"
"EKRE esimees Mart Helme nimetas libastumiseks europarlamendi liikme Jaak Madisoni sotsiaalmeediapostitust, kus Madison kasutas immigratsioonist rääkides natsi-Saksamaale viitavaid sõnu ‘die endgültige Lösung’.",1,0,"[0.84, 0.12, 0.05]"
"Kui tööjõupuudus on tõsine, ja pole alternatiivvariante, nagu Eesti puhul oleks tagasiränne ehk Kalevipoegade naasmine, siis tuleb ajutisele tööjõule kehtestada sama karmid reeglid, nagu seda on Araabia naftamaades— inimesed tulevad ainult tööle, endale ja perele raha teenima, kuid ei saa mingil juhul ühiskonna osaks, vaid peavad töö lõppedes lahkuma.",0,0,"[0.84, 0.12, 0.04]"
"• Pagulaste sugulaste liitumise tõenäosus on väike, sest temaga saavad hiljem liituda vaid abikaasa ja kuni 21-aastased vallalised lapsed.",1,1,"[0.04, 0.84, 0.12]"
"Suvel arvati nende hulk ulatuvat 3000-ni, detsembris usuti asüüliotsijaid Valgevene linnas olevat paari tuhande ringisPõgenike Bresti koondumine algas mullu kevadel koos sellega, kui Venemaa president Vladimir Putin lõpetas resoluutselt vahepeal tekkinud kahtlused oma vankumatus toetuses Tšetšeenia liidrile Ramzan Kadõrovile ja andis talle oma õnnistuse uueks ametiajaks Kaukaasia vabariigi eesotsas.",1,1,"[0.07, 0.77, 0.16]"
Eelnõus sätestatakse 2020. aasta sisserände piirarvu ajaline jaotus poolaasta kaupa.,1,1,"[0.04, 0.58, 0.38]"
"Liibüa rannikuvetes läks sel nädalal pealtnägijate sõnul põhja põgenikest ülerahvastatud alus, mille pardal oli hinnanguliselt 600 inimest.",0,1,"[0.09, 0.86, 0.05]"
"Sisserändajate hordide massiline vastuvõtmine on kõikjal Euroopas päädinud elatustaseme languse, lugematute vägivalla ohvrite ning elamata jäänud eludega.",0,0,"[0.85, 0.13, 0.02]"
"Laias laastus on abiorganisatsioonide tegevus ehtne piraatlus, ja kuigi Matteo Salvini tegevust kirjeldatakse ebainimlikkusena, päästab see tegelikkuses elusid, ning inimesi seavad ohtu hoopis Sea Watch tüüpi pseudoheategijad, kes meelitavad inimesi surmateedele ja aitavad inimkaubitsejatel suuri rahasid teenida.",0,0,"[0.77, 0.15, 0.07]"
"Hispaania on vastu võtnud ka need immigrantidest tulvil laevad, millest on keeldunud nüüdseks mõistusele tulnud Malta ja Itaalia, avades inimkaubandusele sellega uue rändetee.",0,0,"[0.82, 0.14, 0.04]"
"Selgus, et 13% noortest araablastest suudab end ette kujutada ISISt toetamas.",1,1,"[0.13, 0.76, 0.11]"
"Politsei pealtkuulatud telefonikõnedest tuli välja, et afgaan Samsoor Lahoo käskis sõidukijuhil uksi mitte avada, kuigi kosta oli migrantide karjeid.",1,1,"[0.33, 0.59, 0.08]"
"Kuid ega vasakliberaalid ole kuritegelikust praktikast loobunud – Soome, Saksamaa ja Rootsi on juba teatanud, et jätkavad migrantide vastuvõtmist, ergutades seega migratsiooni ja inimkaubandust.",0,0,"[0.89, 0.09, 0.03]"
Põgenike tulevane elukoht ei ole Eesti pagulasabi tugiteenuste juht Anu Viltropi sõnul veel kindel.,1,1,"[0.03, 0.85, 0.13]"
"Huth ütles veel, et Iraagi valitsus informeeris teisipäeval komiteed, mis tegeleb Iraagi migrantide võimaliku ebaseadusliku Valgevene kaudu Leetu toimetamise uurimisega.",1,1,"[0.03, 0.85, 0.12]"
"Tõsi, Gibsoni puhul oli süüdistuseks rassism ja antisemitism.",1,1,"[0.38, 0.54, 0.09]"
"Taani parempoolne immigratsioonivastane partei Danskernes Parti on tekitanud rahvusvahelise pahameeletormi sellega, et jagas Haderslevi linnas elanikele enesekaitseks kasutavaid gaasipihusteid.",0,0,"[0.62, 0.3, 0.08]"
"16. augusti seisuga on saartele tänavu saabunud 3448 põgenikku, teatas siseministeerium.",1,1,"[0.02, 0.91, 0.06]"
"Mis aga puutub Postimehe loosse, siis tegu on sisserändajate võimendatud halaga, mis kulmineerub meile nii tuttava umbkeelsete või multikultuurlaste propaganda moodi tõdemusega: “Oh issand, nüüd tuleb see jube kriket ära õppida!”",0,0,"[0.95, 0.03, 0.02]"
Immigrandid ei tahtvat siia tulla väikse abiraha ja külma ilma tõttu.,1,0,"[0.7, 0.25, 0.05]"
"Kõik üksikasjad sellest, millistel asjaoludel nad Eestisse sattusid, selgitab välja edasine uurimine.“Lähiaja prognoos näitab, et surve piirile võib kasvada veelgi, sest seoses jalgpalli MMiga on Venemaale tulnud tuhandeid inimesi, kes võivad end fänniks nimetades püüda illegaalselt Euroopasse pääseda,” ütles Piusa kordoni juht Valmar Hinno, kelle kinnitusel on surve rohelisele piirile viimastel nädalatel kasvanud.",1,1,"[0.17, 0.78, 0.05]"
Riiki sisenedes peab sellisel ukrainlasel olema viisaga pass.,1,1,"[0.04, 0.72, 0.24]"
"Sisserännet on väidetavalt soodustanud tööjõuvajadus ja sellest tingitud seadusemuudatused – EKRE ongi kritiseerinud neid arvukaid erandeid, mis on võimaldanud võõrastel kinnistuda.",0,1,"[0.37, 0.49, 0.14]"
Saksamaal tõstis üleeile õhtul taas pead islami- ja migratsioonivastane kodanikuühendus PEGIDA.,0,1,"[0.24, 0.67, 0.09]"
Joobes juhtimise kõrval on välismaalaste seas Parve sõnul kasvavas trendis ka poevargused.,0,1,"[0.24, 0.7, 0.06]"
"Immigratsioonivastasest Põhja Liiga parteist pärit võimud keelasid ära ka ""burquini"", mis on konservatiivne ujumisriietus moslemi naistele.",0,0,"[0.56, 0.32, 0.12]"
"Eesti Päevalehe, Delfi ja Eesti Väitlusseltsi koostöös ilmuvas Faktikontrolli sarjas kontrollitakse seekord, kas vastab tõele Henn Põlluaasa väide, et Eesti ei saa kasu välistudengitesse panustatud ressursist.",1,1,"[0.2, 0.58, 0.23]"
"Linnas elab veidi alla 50 000 inimesi ja mošee plaanitakse ehitada Hertsöni saarele, Luleå linna kõige tihedama asustusega piirkonda, vahendab SVT.Mošee ehitamise ideega tuli kõigepealt välja Norrbotteni islamikeskus 2013. aastal.",1,1,"[0.07, 0.7, 0.23]"
"Lähematel kuudel saame Afganistani näitel näha, kuidas Euroopa uus rändepoliitika praktikas töötab.",1,2,"[0.02, 0.22, 0.76]"
“Me ei lase pagulastel enam tulla.,0,0,"[0.79, 0.17, 0.04]"
"Politsei hinnangul on Eestis 5000-10 000 või enamgi illegaalset töötajat ja nn renditööjõu üle, kelle arv üha kasvab, puudub igasugune kontroll ning arvestus.",1,1,"[0.07, 0.88, 0.05]"
"Pöördusime riigikogu poole, et välismaalaste suhtes kehtivaid regulatsioone ei tohi karmistada, toetasime ka põllumehi.",2,2,"[0.04, 0.16, 0.8]"
"Eesti konservatiivne rahvaerakond on saatnud kohalike omavalitsuste volikogulastele vandenõudest ja müütidest kubiseva kirja, milles kutsutakse omavalitsusi üles keelduma pagulaste vastuvõtmisest.",0,0,"[0.83, 0.11, 0.06]"
Vähemalt meie uute globalistlike isandate arvates ei peaks me mitte kunagi saama oma vana elu tagasi.,0,0,"[0.91, 0.06, 0.03]"
"Reps ütles ERR-ile välismaalaste seaduse muudatusi kommenteerides, et ei nõustu välismaalastele miinimumpalga nõudega, mis on poolteist Eesti keskmist brutokuupalka.",1,1,"[0.24, 0.53, 0.23]"
Anna nägi süürlasi tihti ümbruskonnas vankriga jalutamas.,1,1,"[0.05, 0.8, 0.15]"
IOM-i andmetel on nende viies Bosnia keskuses praegu ligi 6000 migranti.,1,1,"[0.06, 0.9, 0.04]"
"Harjumatu kliima, riigi tundmatus ja mustanahaliste kogukonna puudumine pole seejuures abiks.",1,0,"[0.89, 0.08, 0.03]"
Mitu avasüli Eestisse vastu võetud pagulasperet on kadunud kui vits vette – nende asukohast ja tegemistest ei tea midagi ei omavalitsused ega ka tugiisikud.,1,1,"[0.12, 0.77, 0.11]"
"Kui aga õigusekspert nägi, et elamisloa andmiseks pole alust, soovitati isikul muid variante otsida.",1,1,"[0.03, 0.66, 0.31]"
"Islamiriigi enesetaputerrorist lasi end neljapäeval Pakistanis õhku tuntud pühakojas ning tappis vähemalt 75 inimest, mis on ohvriterohkeim rünnak riigis enam kui kahe aasta jooksul.",1,1,"[0.24, 0.69, 0.07]"
Valitsuse kehtestatud piirarv 1315 inimest täitus juba jaanuari alguses ning sellepärast kasutavad tööandjad alternatiivina õigust välismaalasi lühiajaliselt tööle kutsuda.,2,1,"[0.03, 0.59, 0.39]"
Vabatahtlikku naasmist aitavad läbi viia Rahvusvaheline Rändeorganisatsioon (IOM) ja EL-i piirivalveamet Frontex.,2,2,"[0.01, 0.1, 0.89]"
Ja mõnes kohas peavad nad pärast saabumist elama laagrites nagu pagulased teise maailmasõja ajal.,0,1,"[0.11, 0.78, 0.11]"
"Rändepakt paneb ühte patta nii legaalsed kui illegaalsed migrandid, kellel tuleb soov mõnda riiki rännata.",0,1,"[0.36, 0.55, 0.09]"
"Intervjuus selgitas Wilders, kui keerulisse olukorda on Holland sattunud riiki valguvate moslemist immigrantide tõttu.",0,0,"[0.69, 0.28, 0.03]"
"“Korrektselt, tasakaalukalt ja asjatundlikult” ei sisalda kohe kindlasti arutelu selle üle, kuidas võib 250 miljoni aafriklase lahtipääsemine mõjutada Eesti demograafilist olukorda, vaid pigem seda, kas poliitkorrektne IT-mees tuleb rändeleppe tagasi lükanud poliitiliselt mittekorrektsesse Eestisse tööle.",0,0,"[0.89, 0.07, 0.04]"
"Vastupidi, senise põgenikevoo jätkumisel hakkab Eestisse tulevaid pagulasi lisanduma sadade kaupa.",1,1,"[0.03, 0.74, 0.23]"
Pea lahtised piirid võimaldasid Islamiriigi võitlejatel koos relvadega läbi pääseda ning tegutseda otse Erdoğani nina all.,0,1,"[0.06, 0.76, 0.18]"
"Tahaks väga loota, et globalismi sabarakud ja sorosekummardajad saavad siin oma õppetunni kätte ja Riigikogu enamus ei toeta Eestile kahjulikku rändelepet.",0,0,"[0.92, 0.05, 0.03]"
"Sellest hetkest peale, kui Euroopa Liit hakkas kvoodipagulasi liikmesriikidele ähvardustega peale suruma, on Eestis räägitud sellest, kuidas neid ühiskonda lõimima hakatakse, selle jaoks on eraldatud tohutud summad, tehtud arvukalt projekte, kuigi on juba ette teada, et sellest midagi välja ei tule.",0,0,"[0.82, 0.09, 0.09]"
"Die Welt vahendab ühe Viini kooliõpetaja intervjuud, milles too räägib probleemidest moslemiõpilastega ja islami kasvavast mõjust Austria pealinna koolides.25-aastat Viinis õpetajana töötanud Susanne Wiesingeri sõnul on olukord paljudes koolides täiesti kontrolli alt väljunud.",0,1,"[0.3, 0.63, 0.07]"
"Täielikult vaikitakse maha ka see, et peamised islamistide rünnakud on suunatud kristluse ja kristlaste vastu.",0,0,"[0.55, 0.39, 0.06]"
"Eestile, nagu ka mitmele teisele Euroopa riigile, ei meeldi, et EK pakkus riikidele kohustuslikke pagulaskvoote.",1,0,"[0.71, 0.22, 0.08]"
"""Meie teravik on kitsalt suunatud ühe kuritegevusliigi, inimkaubanduse vastu, millele EL oma kvoodipoliitikaga turgu pakub.",0,0,"[0.5, 0.41, 0.09]"
"Suurim probleem ongi see, et kogu Euroopa on sunnitud migrantidega tegelema ja nende peale tohutud summad raiskama, kuid kasu neist eriti pole, vaid nad toovad hoopis enda probleemid kaasa – varem või hiljem kaob ka kõige külalislahkemate eurooplaste kannatus ja abistamistahe.",0,0,"[0.91, 0.07, 0.02]"
"Tuhandetel põgenikel, kes olid jäänud lõksu Ungarisse, lubati täna hommikul liikuda edasi Saksamaale ja Austriasse.",1,1,"[0.03, 0.6, 0.38]"
"Riigikogu Isamaa ja Res Publica Liidu fraktsiooni liige Marko Mihkelson rääkis üleeile ETV saates „Foorum”, et Eestisse taheti Itaaliast ümber paigutada kolm pagulast.",1,1,"[0.13, 0.77, 0.1]"
Rändesurve riikidele kasvab nii migrantide kui ka rahvusvaheliste organisatsioonide poolt – nõutakse vaid vastuvõtmist.,0,1,"[0.38, 0.58, 0.04]"
Riik ei toeta seal lihtsalt enam väärõpetusi ning Ungari oli sunnitud massilise ebaseadusliku rände tõkestamiseks kiirkorras piiritara ehitama.,0,0,"[0.87, 0.11, 0.03]"
"Grupp migrante on Loode-Türgis juba Kreeka piiri poole teel, teatas Türgi uudisteagentuur Demirören täna pärast seda, kui Türgi kõrge ametnik ütles, et Türgi ei takista enam Süüria põgenikel Euroopasse jõudmist.",1,1,"[0.07, 0.86, 0.07]"
"Üksteise kõrval saavad elada hindud, moslemid, eestlased, jeemenlased, sakslased, itaallased ja mehhiklased, omaenese kultuuritausta kaotamata ja omavahel tülli minemata, igal juhul mitte rohkem kui meie siin Eestis.",2,2,"[0.37, 0.22, 0.41]"
"Türgi oleks sunnitud Euroopa Liiduga sõlmitud kokkuleppe põgenikevoolu piiramiseks peatama, kui ei saavutata kokkulepet türklaste viisavaba sisenemise kohta Euroopasse, teatas Türgi välisminister Mevlüt Çavuşoğlu teisipäeval telekanalile TRT Haber.",1,1,"[0.38, 0.55, 0.07]"
Teised iraanlased väljendavad aga muret ja kartust.,1,1,"[0.05, 0.77, 0.18]"
Sellega püüame anda panuse üleilmse rändeprobleemi lahendamisse ja parandada inimeste tingimusi nii rändeteedel kui ka koduriikides.,2,2,"[0.01, 0.07, 0.92]"
"Nende viimsepäevaratsanike hulka kuulub ka Hispaania feministlik-sotsialistlik valitsus, kes on avanud rändekoridori Aafrikast Pürenee poolsaarele – alles sel esmaspäeval kirjutas BNS, et Maroko rannikuvetes sai surma 13 ebaseaduslikku sisserändajat ja veel 80 päästeti merelt, ja nende surm on Sanchezi valitsuse kätel.",0,0,"[0.76, 0.2, 0.04]"
"Vaja on, et seal oleksid inimesed, kellele oleks globaalsete probleemide kõrval esmatähtsad ka rahvuslikud huvid – et nad ei teeks rändepakti-otsuseid, vaid selliseid, mis rändele piiri paneks.",0,0,"[0.44, 0.31, 0.25]"
"2017. aastal jõudis Türgist Kreekasse 35 000 migranti, neist 40% olid süürlased, 21% iraaklased ja 11% afgaanid.",1,1,"[0.05, 0.91, 0.04]"
"Lääneriikides kisklevad ka türklased armeenlastega, albaanlased serblastega, hindud moslemitega, šiiamoslemid sunniitidega – neid konflikte on palju ja need muudavad sihtriigid ebaturvaliseks.",0,0,"[0.51, 0.45, 0.04]"
"Teiseks leiab Helme, et EKRE oluline saavutus on Eesti ühiskonna mobiliseerimine “allaheitliku immigratsioonipoliitika vastu”.",0,0,"[0.85, 0.09, 0.05]"
"Rootsis on vihaselt reageeritud kerjamisvastastele reklaamidele, mille on Stockholmi metroo seintele üles pannud immigratsioonivastane erakond Rootsi Demokraadid.",1,0,"[0.67, 0.26, 0.07]"
"“Me ei hoia enam uksi suletuna põgenikele, kes tahavad Euroopasse minna,” ütles anonüümsust palunud ametnik.",2,1,"[0.04, 0.52, 0.43]"
"See talu on üks suurimaid maasikakasvatajaid Eestis, kus hooajatöödele võetakse appi ligi sada inimest.",1,2,"[0.01, 0.1, 0.89]"
"Nn avatuse ja sallivuse kaitsjad, eiravad tõsiasja, et multikultistumise piiramatu jätkumisega, eriti koos piiramatu massiimmigratsiooniga islamiriikidest, muutub rahvastik ning drastilised muutused tabavad meie kultuuri- ja väärtusruumi.",0,0,"[0.95, 0.03, 0.01]"
"Pigem kannustas neid suhtumine ja emotsioonid, mille aluseks on ebaõiglustunne pagulastele seatud toetuste ja oma rahva unarussejätmise vahel.",0,0,"[0.62, 0.3, 0.09]"
"Ameeriklased nagu ka Suurbritannia elanikud tahtsid jälle oma saatuse valitsemise ohjad enda kätte võtta, öelda „stopp“ ebavõrdsuse kasvule ja massiimmigratsiooni kontrollimatule voole.",0,0,"[0.94, 0.04, 0.02]"
"Nigeeriast ja Ghanast pärit ellujäänud rääkisid politseile, et grupp moslemeid hakkas alusel, kus oli umbes sada inimest, nigeerlasi ja ghanalasi ähvardama, kui need kuulutasid, et on kristlased.",0,1,"[0.28, 0.64, 0.08]"
"Eelmisel reedel riputas endine välisminister, praegune ksenofoob Kristiina Ojuland oma Facebooki seinale üleskutse hakata avalikustama eestlaste nimesid, kes pooldavad põgenikele Eestis varjupaiga pakkumist.",0,0,"[0.54, 0.23, 0.23]"
"Aga ükski neeger pole mustanahaline ingel – võõrad on samasugused heade ja vigadega inimesed, nagu meid ümbritsevad eestlasedki ja neil võib samasuguseid sigadusi oodata, nagu teeb aeg-ajalt teie naaber või töökaaslane.",0,0,"[0.93, 0.04, 0.03]"
"Veel mõni aasta massiimmigratsiooni, islamiseerimist ja europerverssusi (radikaalfeminism, sugude kaotamine, jne.)",0,0,"[0.96, 0.03, 0.01]"
"Vallavalitsus leiab, et Värska vallal puudub praegusel hetkel võimekus pagulasi vastu võtta ja üldisemas plaanis peaksid Eesti julgeolekuasutused tegema analüüsi piiriäärsetele aladele pagulaste paigutamise osas.",1,1,"[0.05, 0.81, 0.14]"
Toetame lahendust migratsioonikriisiga tegelemiseks väljaspool Euroopat.,2,2,"[0.01, 0.07, 0.92]"
"Ungari pani 2015.-2016. aastal väga ruttu välispiirile kaitse peale, tänu millele kaitsti ka Prantsusmaad, Saksamaad ja ülejäänud Euroopa riike väga suure illegaalse immigratsioonivoo eest,"" ütles Madison.",0,2,"[0.31, 0.3, 0.39]"
"“Eesistujariigina keskendus Eesti rände peamistele põhjustele ja selle tagajärgedele Euroopa Liidus, ebaseadusliku sisserände ennetamisele ning põgenike inimkaubanduse vastu võitlemisele,” ütles Mikser.",1,2,"[0.02, 0.35, 0.63]"
Multikultuurne Rootsi on tuntud sisserändetaustaga kuritegevuse poolest ning tulistamised ja plahvatused on seal sagedased.,0,0,"[0.62, 0.35, 0.03]"
Seega kergitab kolmandatest riikidest pärit töötajate suurenev huvi Eestis töötamise vastu taas sisserände piirarvu küsimuse.,1,1,"[0.02, 0.79, 0.19]"
"Rändesaldo peaaegu kahekordistus 2015. aastal, teatas Saksamaa statistika liiduamet.",1,1,"[0.03, 0.82, 0.15]"
"Tartu Kristjan Jaak Petersoni koolinoored loodavad, et nad suudavad veelgi välismaalasi panna huvitundama eesti keele vastu.",2,2,"[0.02, 0.07, 0.92]"
"Keskerakonna kakskeelsed koolid ja Metsavaste ees silmade kinni pigistamine, venelaste vägivald eestlase vastu Viru pataljonis ja Kohtla-Järve riigigümnaasiumi ümber toimuv üheskoos näitavad, et rahvusriiki kägistatakse nii idast kui läänest, nii venestamise kui globalismi ja multikultuursuse impordiga.",0,0,"[0.95, 0.03, 0.02]"
Lisaks on tekkinud islamofoobia.,0,1,"[0.09, 0.83, 0.08]"
"Kaheksa Eestis registreeritud firma omanikud on välismaalased, enamasti Venemaa kodanikud, ent nende seas leidub ka Ukraina ja Läti kodanikke.",1,1,"[0.03, 0.88, 0.09]"
"Eestis on niigi mitte-eestlaste osakaal rahvastikust üks kõrgemaid Euroopas,” leiab ametist lahkunud president Arnold Rüütel.",0,1,"[0.09, 0.74, 0.17]"
Eesti riigil pole mingit vajadust ega põhjust võtta vastu uusi moslemi-immigrante.,0,0,"[0.87, 0.08, 0.05]"
"Nad kritiseerivad rassismi, homovastasust, võõraviha ja nende arvates vananenud rahvuslust.",2,0,"[0.75, 0.15, 0.1]"
"Välja pakuti meetmeid inimkaubitsejate vastu võitlemisest Aafrika migrandilaagrites kuni asüülitaotlejate ärajagamiseni 28 liikmesriigi vahel, vahendab Reuters.",1,1,"[0.04, 0.48, 0.48]"
Rahvusvahelise rändekava alusel Eestisse saabunud pagulaspered paigutatakse nii suuremate kui ka väiksemate linnade üürikorteritesse.,2,1,"[0.02, 0.5, 0.49]"
Tagasirände korraldamine jäetakse seega liikmesriikide mureks.,1,1,"[0.07, 0.62, 0.31]"
"Meile räägitakse, et massiimmigratsioon ei hakka kunagi Eestit puudutama ja meie sellega seonduvad hirmud on asjatud.",2,0,"[0.88, 0.08, 0.04]"
"See kett on ulatunud ka läbi pagulaseestlaskonna, kes on Eesti Vabariigi seadusi palju aastaid ülal hoidnud.”",2,2,"[0.02, 0.22, 0.75]"
"Hääletusel oli parempoolse Rahvapartei ettepanek lahkuda Schengeni viisaruumist, milles on kaotatud riikidevaheline piirikontroll, vahendab Reuters.",1,1,"[0.41, 0.51, 0.08]"
"EL-is jälle tõsiselt esile kerkinud rändeprobleemide keskmes on liikmesriikide sügavad erimeelsused küsimuses, kes ja mil määral migrantide eest vastutab.",1,1,"[0.14, 0.76, 0.1]"
"Teine protsessi fookus saab olema sellel, kuidas tapjate seltskonnal õnnestus märkamatult Prantsusmaale siseneda, kasutades väidetavalt kattevarjuna rändevoolu Islamiriigi kontrolli all olevatelt Süüria aladelt.",1,1,"[0.11, 0.81, 0.08]"
"Protsess, et saada siin elamisluba, ei olnud väga keeruline.",2,1,"[0.04, 0.58, 0.37]"
"Progressiivse globalistina püüdis Obama tahtlikult varjata turvaohtusid, seda nii poliitilise korrektsuse kui ka vasakpoolse ideoloogia tõttu.",0,0,"[0.81, 0.14, 0.05]"
Tšehhi ja teiste riikide keeldumine pagulaste vastuvõtmisest rikub EL-i seadusi.,1,1,"[0.15, 0.68, 0.18]"
"Et oleme rahvuslased, aga laseme kõigil siia tulla, nii ukrainlasel kui ka neegril ja araablasel, ja üritame neist eestlasi vorpida?",0,0,"[0.94, 0.04, 0.03]"
"Muuhulgas väitis Clinton oma kõnes, et nii Trumpil kui ka tema toetajatel on rassistlikud seisukohad.“Need on rassistlikud ideed, rassile vihjavad ideed, moslemivastased, immigrandivastased, naistevastased, kõik võtmekomponendid, mis kokku moodustavad alternatiivparempoolsusena (alt-right) tuntud tõusuteel oleva ideoloogia,” ütles Clinton oma kõnes.",2,0,"[0.79, 0.16, 0.05]"
"Täna öösel kella ühe ajal läksid Rüütli tänaval kolm meest omavahel kaklema, kui Türgist pärit välismaalaselt küsiti suitsu ning tema eitavale vastusele reageerides hakati teda ""neegriks"" kutsuma.",1,0,"[0.61, 0.32, 0.07]"
"Suurbritannia ja Prantsusmaa otsustasid süvendada koostööd, takistamaks migrantide katseid ületada La Manche´i väina, teatas Briti siseministeerium pühapäeval.",1,1,"[0.09, 0.71, 0.2]"
"Aina rohkem on neidki näiteid, kus ettevõtjad otsivad pagulasstaatuse saanute seast ise kvalifitseeritud töökäsi – ja süürlaste haridustase on üpris kõrge –, et neid otse töökohal välja õpetada.",2,2,"[0.01, 0.14, 0.84]"
"Neil on oht peale võõramaalase poolt pilastamist ka sildistatud ja süüdistatud saada.”Kogu sallivusleer – inimõiguste keskus, feministid, sallivuslased, LGBT ja teised multikultiühendused – läheks vähimagi kahtluseta neegri või araablase poolele.",0,0,"[0.93, 0.04, 0.03]"
"Austraalia keeldub võtmast vastu ühtegi asüülitaotlejat, kes on üritanud riiki jõuda illegaalselt paadiga, toimetades nad Nauru või Paapua Uus-Guinea Manuse saarele seniks, kuni nende taotlusi menetletakse.",0,1,"[0.13, 0.76, 0.11]"
"Euroopa Liit on valinud kolmanda tee – ta laseb inimkaubandusel jätkuda, lubab migrante kokku korjama vabaühenduste laevad, üritab päästetud migrandid laiali sokutada ning… hädaldab pidevalt selle üle, et inimesed hukkuvad rändeteedel.",0,0,"[0.93, 0.05, 0.02]"
"Me kinnitame endiselt, et meil on nulltolerants immigratsiooni suhtes ja me ei aktsepteeri kunagi mingit Euroopa Komisjoni poolset pagulaskvooti.",0,0,"[0.84, 0.08, 0.09]"
"(…) Juhin Su tähelepanu sellele, et Eesti valitsus pole rändepakti toetanud ja seda just Isamaa vastuseisu tõttu,” kirjutab Seeder Mart Helmele.",1,0,"[0.55, 0.35, 0.1]"
Londoni elanike hulgas on mustanahalisi 12 protsenti.,1,1,"[0.04, 0.82, 0.14]"
"Korrusmajja tuuakse elama „multikultuurne” seltskond Marimaalt, Valgevenest, Ukrainast, Udmurtiast, Komimaalt ja Kasahstanist (kõik venekeelsed).Eramaja elanikule need „arengud” ei meeldi.",1,0,"[0.84, 0.13, 0.03]"
"Kuressaare Noortejaama jõuab neljapäeval „Saame tuttavaks!“ projekt, mis viib kokku Eestis elavad immigrandid ja Eesti kohalikud inimesed, kirjutab Meie Maa.",2,2,"[0.02, 0.18, 0.81]"
"USA eriväed tapsid Süüria idaosas toimunud reidil Islamiriigi kõrge liikme ning võtsid kinni tema abikaasa, teatas täna Pentagon.",1,1,"[0.05, 0.87, 0.08]"
"Migrandid on kaasa toonud oma kombed, oma vastuolud, oma konfliktid, ja kindlasti on nad ka põlisrahvad oma vägivaldsusega stressi viinud – sellelt pinnalt on nii terrorismil kui kuritegevusel tohutult kasvupinda, rääkimata olmekonfliktidest.",0,0,"[0.92, 0.06, 0.01]"
"Austrias on puhkenud skandaal valitsuskoalitsiooni kuuluva paremäärmusliku Vabaduspartei (FPÖ) liikme Christian Schilcheri sisserändeteemalise luuletuse „Die Stadtratte” („Linnarott”) pärast, milles võrreldakse inimesi närilistega ja kästakse sisserändajatel integreeruda või „kiiresti minema kiirustada”.",1,0,"[0.81, 0.15, 0.04]"
"Kuidas kavatseti Eestit uputada rändelainetesse, võttes vastu inimsmugeldajate “ohvreid” aafriklaste ja teiste migrantide näol.",0,0,"[0.94, 0.04, 0.02]"
"Toona pakkusid Mali režiimile ja koloniaalriikide tõmmatud ebaloomulike riigipiiride säilimisele sõjalist toetust Prantsusmaa ja USA, põhjendades seda islamistlike rühmituste levikuga Saheli regioonis.",1,1,"[0.32, 0.58, 0.1]"
"""Pädevate ametiasutuste hinnang ütleb, et tõenäosus, et põgenikekriisi kasutatakse Eesti ühiskonna destabiliseerimiseks, on väike.",2,1,"[0.09, 0.77, 0.14]"
Riigi sõjaväelased levitasid laimu ning kutsusid üles moslemikogukonda hävitama.,0,0,"[0.62, 0.31, 0.07]"
"Kui me soovime, et meie majandusel läheks hästi ilma, et me peaksime tooma sisse suurel hulgal välistööjõudu, siis peab meil suurenema vanemaealiste tööhõive.",1,2,"[0.04, 0.19, 0.77]"
"Kreekas Lesbose ja Chiose saartel on see juba eos, sest omavahel on kokku läinud politsei ja migrandilaagrite vastu protesteerivad kreeklased.",0,1,"[0.4, 0.54, 0.06]"
"Sel aastal on mitme kriisi tõttu Euroopa Liitu saabunud põgenike arv mitmekordistunud ja mitmed riigid, nende seas Rootsi, on sattunud tugeva surve alla.",1,1,"[0.22, 0.73, 0.05]"
"Samuti ähvardaks mehi rannikule jõudes kinnipidamine illegaalse immigratsiooni eest, kuna võõrtöölistest laevaliste passid on endiselt tööandja valduses.",1,1,"[0.16, 0.77, 0.07]"
"Küll kavatseb rändelepinguga ühineda aga Venemaa, mis on niigi meile demograafiliselt kõige ohtlikum naaber ja kes võib leppega ühinemise tulemusena saada meile ka transiitmigrantide doonoriks.",0,0,"[0.82, 0.15, 0.03]"
Tegelikult peaks seda paadipõgenike voolu Aafrikast õige sõnaga nimetama – ja see on inimkaubandus.,0,0,"[0.76, 0.2, 0.04]"
"Kuidas teeme vahet sõjapõgenike ja majanduspagulaste vahel olukorras, kus migrantide pealevool on väljunud kontrolli alt – siin peame ise panustama ja aitama oma kaaseurooplasi.",1,1,"[0.27, 0.4, 0.33]"
